OCC_CODE,OES_TITLE,teleworkable
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0
51-4041,Machinists,0
51-4051,Metal-Refining Furnace Operators and Tenders,0
51-4052,"Pourers and Casters, Metal",0
51-4061,"Model Makers, Metal and Plastic",0
51-4062,"Patternmakers, Metal and Plastic",0
51-4071,Foundry Mold and Coremakers,0
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0
51-4111,Tool and Die Makers,0
51-4121,"Welders, Cutters, Solderers, and Brazers",0
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0
51-4192,"Layout Workers, Metal and Plastic",0
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",0
51-4194,"Tool Grinders, Filers, and Sharpeners",0
51-5111,Prepress Technicians and Workers,1
51-5112,Printing Press Operators,0
51-5113,Print Binding and Finishing Workers,0
51-6011,Laundry and Dry-Cleaning Workers,0
51-6021,"Pressers, Textile, Garment, and Related Materials",0
51-6031,Sewing Machine Operators,0
51-6041,Shoe and Leather Workers and Repairers,0
51-6042,Shoe Machine Operators and Tenders,0
51-6051,"Sewers, Hand",0
51-6052,"Tailors, Dressmakers, and Custom Sewers",0
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,0
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",0
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0
51-6092,Fabric and Apparel Patternmakers,1
51-6093,Upholsterers,0
51-7011,Cabinetmakers and Bench Carpenters,0
51-7021,Furniture Finishers,0
51-7031,"Model Makers, Wood",0
51-7032,"Patternmakers, Wood",0
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",0
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0
51-8011,Nuclear Power Reactor Operators,0
51-8012,Power Distributors and Dispatchers,0
51-8013,Power Plant Operators,0
51-8021,Stationary Engineers and Boiler Operators,0
51-8031,Water and Wastewater Treatment Plant and System Operators,0
51-8091,Chemical Plant and System Operators,0
51-8092,Gas Plant Operators,0
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0
51-8099,"Plant and System Operators, All Other",0
51-9011,Chemical Equipment Operators and Tenders,0
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0
51-9022,"Grinding and Polishing Workers, Hand",0
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",0
51-9031,"Cutters and Trimmers, Hand",0
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",0
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",0
51-9071,Jewelers and Precious Stone and Metal Workers,.2914485
51-9081,Dental Laboratory Technicians,0
51-9082,Medical Appliance Technicians,0
51-9083,Ophthalmic Laboratory Technicians,1
51-9111,Packaging and Filling Machine Operators and Tenders,0
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0
51-9122,"Painters, Transportation Equipment",0
51-9123,"Painting, Coating, and Decorating Workers",1
51-9141,Semiconductor Processors,0
51-9151,Photographic Process Workers and Processing Machine Operators,0
51-9191,Adhesive Bonding Machine Operators and Tenders,0
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0
51-9193,Cooling and Freezing Equipment Operators and Tenders,0
51-9194,Etchers and Engravers,0
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",0
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",0
51-9197,Tire Builders,0
51-9198,Helpers--Production Workers,0
51-9199,"Production Workers, All Other",0
53-1011,Aircraft Cargo Handling Supervisors,0
53-1048,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",.79337096
53-2011,"Airline Pilots, Copilots, and Flight Engineers",0
53-2012,Commercial Pilots,0
53-2021,Air Traffic Controllers,1
53-2022,Airfield Operations Specialists,0
53-2031,Flight Attendants,0
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0
53-3021,"Bus Drivers, Transit and Intercity",0
53-3022,"Bus Drivers, School or Special Client",0
53-3031,Driver/Sales Workers,0
53-3032,Heavy and Tractor-Trailer Truck Drivers,0
53-3033,Light Truck or Delivery Services Drivers,0
53-3041,Taxi Drivers and Chauffeurs,0
53-4011,Locomotive Engineers,0
53-4012,Locomotive Firers,0
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0
53-4021,"Railroad Brake, Signal, and Switch Operators",0
53-4031,Railroad Conductors and Yardmasters,0
53-4041,Subway and Streetcar Operators,0
53-5011,Sailors and Marine Oilers,0
53-5021,"Captains, Mates, and Pilots of Water Vessels",0
53-5022,Motorboat Operators,0
53-5031,Ship Engineers,0
53-6011,Bridge and Lock Tenders,0
53-6021,Parking Lot Attendants,0
53-6031,Automotive and Watercraft Service Attendants,0
53-6041,Traffic Technicians,0
53-6051,Transportation Inspectors,0
53-6061,"Transportation Attendants, Except Flight Attendants",0
53-7011,Conveyor Operators and Tenders,0
53-7021,Crane and Tower Operators,0
53-7031,Dredge Operators,0
53-7032,Excavating and Loading Machine and Dragline Operators,0
53-7033,"Loading Machine Operators, Underground Mining",0
53-7041,Hoist and Winch Operators,0
53-7051,Industrial Truck and Tractor Operators,0
53-7061,Cleaners of Vehicles and Equipment,0
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",0
53-7063,Machine Feeders and Offbearers,0
53-7064,"Packers and Packagers, Hand",0
53-7071,Gas Compressor and Gas Pumping Station Operators,0
53-7072,"Pump Operators, Except Wellhead Pumpers",0
53-7073,Wellhead Pumpers,0
53-7081,Refuse and Recyclable Material Collectors,0
53-7111,Mine Shuttle Car Operators,0
53-7121,"Tank Car, Truck, and Ship Loaders",0
